종목명,현재가,배당금,수익률,배당성향,ROE,PER,PBR,배당금_1년전,배당금_2년전,배당금_3년전
티에이치엔,"2,955",60,2.03,6.26,33.47,3.82,1.04,50,50,55
KG케미칼,"14,400",350,2.43,4.66,32.69,1.59,0.45,350,350,350
신풍제지,"1,380",60,4.35,8.47,32.25,2.66,0.60,80,0,0
코웨이,"76,400","2,400",3.14,52.05,30.74,20.64,6.24,"3,600","3,200","3,200"
사조대림,"14,600",150,1.03,1.34,30.57,1.52,0.37,150,150,100
시디즈,"50,400",300,0.60,6.45,27.34,11.32,2.32,300,0,0
동양고속,"26,300","4,700",17.87,38.41,26.85,2.41,0.55,"1,000",635,153
BGF리테일,"129,000","2,700",2.09,30.81,26.46,19.35,4.70,"2,680","1,000",-
지누스,"85,900","1,250",1.46,13.87,26.32,16.38,3.36,0,0,0
동남합성,"30,700",200,0.65,4.06,26.23,5.05,1.21,"1,240",73,73
에이리츠,"6,590",415,6.30,19.99,25.42,3.38,0.78,308,96,592
F&F,"85,100","1,000",1.17,13.92,25.13,15.65,3.56,650,650,350
휠라홀딩스,"36,250",219,0.60,4.99,23.80,12.14,2.58,50,50,50
두산,"38,450","5,200",13.52,23.78,23.52,3.86,0.80,"5,200","5,100","5,100"
두산2우B,"67,900","5,200",7.66,23.78,23.52,3.86,0.80,"5,200","5,100","5,100"
두산우,"34,500","5,250",15.22,23.78,23.52,3.86,0.80,"5,250","5,150","5,150"
삼양식품,"126,500",800,0.63,10.12,23.14,11.37,2.39,400,250,150
대림건설,"30,400",400,1.32,6.38,23.04,3.17,0.66,250,0,0
효성ITX,"23,200",500,2.15,55.68,21.77,19.16,3.89,500,500,200
한일현대시멘트,"28,100","1,000",3.56,40.71,21.69,12.39,2.50,800,0,0
한전산업,"3,285",227,6.91,42.78,21.46,6.60,1.33,169,198,218
효성화학,"109,500","5,000",4.57,18.09,21.37,5.25,1.01,"1,000",-,-
한국쉘석유,"234,500","16,000",6.82,98.92,21.30,19.97,4.29,"19,000","17,000","19,000"
삼화콘덴서,"57,200",250,0.44,8.65,21.24,18.34,3.51,300,150,50
한솔케미칼,"149,000","1,500",1.01,19.24,20.88,13.85,2.62,"1,200","1,000","1,000"
효성티앤씨,"120,500","2,000",1.66,9.27,20.86,7.18,1.36,"1,000",-,-
까뮤이앤씨,"1,325",30,2.26,9.85,20.68,4.25,0.79,20,20,15
한미글로벌,"7,200",200,2.78,8.93,20.64,4.71,0.81,200,250,300
LG생활건강우,"710,000","11,050",1.56,23.70,20.32,28.71,5.10,"9,300","9,050","7,550"
LG생활건강,"1,345,000","11,000",0.82,23.70,20.32,28.71,5.10,"9,250","9,000","7,500"
HDC현대산업개발,"21,100",438,2.07,5.31,20.30,2.89,0.53,438,-,-
호텔신라우,"62,900",400,0.64,7.83,20.16,21.40,3.74,400,400,400
호텔신라,"71,300",350,0.49,7.83,20.16,21.40,3.74,350,350,350
화승엔터프라이즈,"10,950",45,0.41,4.36,19.87,16.43,2.94,35,18,18
화승인더,"7,140",45,0.63,4.12,19.66,11.17,1.94,40,25,25
더블유게임즈,"75,200",350,0.47,5.35,18.93,8.25,1.30,350,350,650
JW생명과학,"18,500",500,2.70,36.09,18.92,14.29,2.56,500,500,300
더존비즈온,"105,000",470,0.45,30.32,18.78,48.54,6.95,450,400,290
